time,position_1,velocity_1,acceleration_1,jerk_1,position_2,velocity_2,acceleration_2,jerk_2
0.58,0.0380762,0.181071,0.518494,0.377212,0.339009,0.932126,-1.22447,-14.5016
0.59,0.0399129,0.186275,0.522188,0.361584,0.348267,0.919161,-1.36791,-14.1811
0.6,0.0418018,0.191514,0.525726,0.346066,0.357388,0.904779,-1.50796,-13.823
0.61,0.0437433,0.196789,0.529109,0.330659,0.366358,0.889014,-1.64425,-13.4272
0.62,0.0457377,0.202096,0.532339,0.315362,0.375163,0.871908,-1.77638,-12.9936
0.63,0.0477854,0.207435,0.535417,0.300175,0.383792,0.853502,-1.90399,-12.5224
0.64,0.0498865,0.212804,0.538343,0.2851,0.392229,0.833844,-2.0267,-12.0135
0.65,0.0520415,0.218201,0.541119,0.270134,0.400464,0.812985,-2.14414,-11.4668
0.66,0.0542506,0.223626,0.543746,0.255279,0.408485,0.79098,-2.25591,-10.8825
0.67,0.0565141,0.229076,0.546225,0.240534,0.41628,0.767887,-2.36166,-10.2604
0.68,0.0588322,0.23455,0.548557,0.2259,0.423839,0.743768,-2.461,-9.60071
0.69,0.0612052,0.240046,0.550744,0.211376,0.431153,0.71869,-2.55355,-8.90327
0.7,0.0636332,0.245564,0.552785,0.196963,0.43821,0.692721,-2.63894,-8.16814
0.71,0.0661165,0.251102,0.554683,0.18266,0.445004,0.665936,-2.71679,-7.39531
0.72,0.0686553,0.256657,0.556439,0.168468,0.451527,0.638412,-2.78672,-6.58478
0.73,0.0712498,0.26223,0.558053,0.154386,0.45777,0.610229,-2.84836,-5.73655
0.74,0.0739,0.267818,0.559527,0.140414,0.463729,0.581474,-2.90132,-4.85062
0.75,0.0766062,0.27342,0.560862,0.126553,0.469398,0.552233,-2.94524,-3.92699
0.76,0.0793684,0.279035,0.562058,0.112803,0.474773,0.5226,-2.97974,-2.96566
0.77,0.0821869,0.284661,0.563118,0.0991627,0.479849,0.492671,-3.00443,-1.96664
0.78,0.0850617,0.290297,0.564042,0.0856329,0.484625,0.462545,-3.01894,-0.929911
0.79,0.0879929,0.295941,0.564831,0.0722137,0.4891,0.432327,-3.0229,0.144513
0.8,0.0909805,0.301593,0.565487,0.0589049,0.493272,0.402124,-3.01593,1.25664
0.81,0.0940247,0.30725,0.56601,0.0457065,0.497143,0.372046,-2.99764,2.40646
0.82,0.0971255,0.312913,0.566401,0.0326186,0.500714,0.34221,-2.96767,3.59398
0.83,0.100283,0.318578,0.566662,0.0196411,0.503988,0.312733,-2.92564,4.8192
0.84,0.103497,0.324245,0.566794,0.00677406,0.50697,0.283739,-2.87116,6.08212
0.85,0.106768,0.329914,0.566798,-0.00598253,0.509665,0.255353,-2.80387,7.38274
0.86,0.110095,0.335581,0.566675,-0.0186287,0.512079,0.227705,-2.72338,8.72106
0.87,0.11348,0.341247,0.566426,-0.0311644,0.514222,0.20093,-2.62932,10.0971
0.88,0.11692,0.346909,0.566052,-0.0435896,0.516101,0.175165,-2.52132,11.5108
0.89,0.120418,0.352567,0.565555,-0.0559044,0.517729,0.150552,-2.39898,12.9622
0.9,0.123972,0.35822,0.564934,-0.0681087,0.519117,0.127235,-2.26195,14.4513
0.91,0.127582,0.363866,0.564193,-0.0802027,0.520278,0.105363,-2.10983,15.9781
0.92,0.131249,0.369503,0.563331,-0.0921861,0.521229,0.0850894,-1.94226,17.5427
0.93,0.134972,0.375132,0.562349,-0.104059,0.521986,0.0665705,-1.75885,19.1449
0.94,0.138752,0.38075,0.56125,-0.115822,0.522567,0.0499664,-1.55924,20.7848
0.95,0.142587,0.386356,0.560033,-0.127474,0.522992,0.0354411,-1.34303,22.4624
0.96,0.146479,0.39195,0.558701,-0.139015,0.523283,0.0231623,-1.10986,24.1777
0.97,0.150426,0.39753,0.557253,-0.150447,0.523464,0.0133017,-0.859351,25.9307
